sample_name	cancer_group
BRCA_EF17C882_9808_4676_9DFA_432D34290B33	LumB
BRCA_FB1C995E_6C78_414A_B74C_8C77CD924348	Basal
BRCA_FCD2477B_7E05_4EB7_BD63_302496AEA537	LumA
BRCA_FE43880C_3F93_4463_9C91_5A2DE7130718	LumB
CESC_10041818_52A8_4856_ADEE_13E3FC97A737	CESC
CESC_480D4965_DBC3_47D2_A352_E68A44F75232	CESC
CESC_BA6FB645_26C4_436D_AF9D_653767310153	CESC
CESC_DADFADB7_86D6_4074_B19E_BB81F4D22A17	CESC
CHOL_1061FF2E_0ECA_4DE5_8D6D_E1A9B123B75F	CHOL
CHOL_2C9A8381_93B9_441F_B8DD_EFA6B50812FD	CHOL
CHOL_39DCFAD0_1750_4418_9643_B5F2EAD9632A	CHOL
CHOL_500901B3_0753_4499_9A97_91CEF27C355E	CHOL
CHOL_75A6DCBC_AD94_4D7C_BF14_E5CB355B0E91	CHOL
COAD_0914606C_2CA1_4287_B530_DB70EA93ED6C	COAD
COAD_0B139EBC_D372_4EC3_90DB_4CC9BC6F38DC	COAD
COAD_0B7D5055_6D9C_46BB_A420_8098CD555089	COAD
COAD_1B956E80_EFF5_4EF5_88F3_EBDF4515217A	COAD
COAD_1E46B832_4B41_4CA3_B2DB_C8287EFFC589	COAD
COAD_29C18FA9_CDF6_49A5_9CEB_49C11EF0433F	COAD
COAD_2EB7D36F_5616_460C_91C9_6D0AEA893D97	COAD
COAD_32AA8B86_5414_4552_B946_E2F368618E5F	COAD
COAD_3B3A0F79_C38C_42F9_A7ED_EEA42B66C468	COAD
COAD_3ECCFFD0_0915_4151_9B10_6C7C37372A72	COAD
COAD_42D5A2CF_D448_4072_8278_98B643DAA870	COAD
COAD_42E74A17_DD9B_46E6_9EE5_B13002ABE778	COAD
COAD_46471206_CECD_4A89_99A9_809675776136	COAD
COAD_492F3932_39FF_4FB1_89D8_8A9474FBA080	COAD
COAD_4A17E8A4_41C9_42FB_8976_C38C0DE9EC05	COAD
COAD_542202A7_3D76_40F4_89CC_8DA386DCF48B	COAD
COAD_561632F0_56A1_4FF0_8DD1_219AD30591D4	COAD
COAD_57255B8E_9085_4CDF_98DE_B4858BFF5789	COAD
COAD_5D002D01_AE41_44B9_BE6B_A58B470062BD	COAD
COAD_60C262B4_7743_46BC_A16A_3C087FA577BE	COAD
COAD_62DDE2A9_D8F7_4DD6_BE50_CC208AE71FFC	COAD
COAD_64DC847B_9D5E_4484_B067_0B8B585B0DF8	COAD
COAD_73167300_8F3F_4ACB_B519_2897C285C63F	COAD
COAD_74EF44ED_9B3A_4E21_9E86_6C753CF94F4F	COAD
COAD_77DDE147_7453_4E7A_A730_E2D408F968ED	COAD
COAD_7E54C176_FB16_4492_9688_2BCD0F421E56	COAD
COAD_8E38B9F2_90FA_4DA8_A332_7F8B75AD6C4A	COAD
COAD_A5B3C573_AAC8_4775_AE3F_AE7D3BE2CC80	COAD
COAD_AEB99386_152C_4B0C_AC65_6B222FCE2412	COAD
COAD_B5AE6F25_E2EA_412F_AC4C_E11EA47FC490	COAD
