sample_name	cancer_group
TGCT_772E7A97_0B2F_4DE7_B44B_E233EA5ACA5C	TGCT
TGCT_915BF6AB_D5A9_44A6_8913_DE735A3A32CA	TGCT
TGCT_A3208F24_8F24_43B5_99C5_E4A3CA68026C	TGCT
TGCT_A6AB6BA9_2EE3_4919_B524_65C2F7B6A052	TGCT
THCA_073FEB53_ADC5_4B5B_8D4B_9D6692AE996F	THCA
THCA_2035B22F_A9D8_4608_8B54_5146EC5CE76B	THCA
THCA_3E77F455_8BCF_4C61_9B4D_E56EC829241A	THCA
THCA_4589BD8A_FCEA_4968_939B_4C3960C48AB1	THCA
THCA_5040673F_93A4_48BC_A015_D0DA9C69F0B4	THCA
THCA_5BD43F10_0990_41B4_AD7A_741949D128A0	THCA
THCA_8084B582_941C_4F46_B2E6_6B6AE35989FC	THCA
THCA_8681469D_66FB_4E67_9AD9_BEAE596F7BF5	THCA
THCA_ABF4154C_FACF_4711_AAC7_35C560F39BC2	THCA
THCA_BC2421A1_70FD_4F62_8E12_956AE8472E0C	THCA
THCA_C28B747E_CFB2_4ED4_9821_9964A342DAA6	THCA
THCA_DDA40F94_13CA_4BE0_9DB1_D7F14AC9EACA	THCA
THCA_EB01542B_2A13_4D7B_82A9_CE37B2D54BA3	THCA
THCA_F8168297_C181_408B_8F2F_1F7AB849F1C5	THCA
UCEC_1D6B31A2_8276_4ADB_BAD3_1659E7AE8C15	UCEC
UCEC_29305CFF_69CB_4F68_8FA8_F1D9D7F605B9	UCEC
UCEC_392EE08A_B49B_4257_BCBC_B3038B7174A8	UCEC
UCEC_417CDB67_1DB1_4399_8591_C4600D65C14C	UCEC
UCEC_4AC67ED1_07F8_4A27_97D3_7B8D693479AA	UCEC
UCEC_64E4DFBF_7859_4FE4_AC05_E6B4995C868C	UCEC
UCEC_6732BA4A_065A_4EF6_81E1_6DB5CAD70C97	UCEC
UCEC_939BD27B_C1F6_4C55_949E_511A1D916E28	UCEC
UCEC_9D108B12_D50E_4280_AA1A_219BF0E1856D	UCEC
UCEC_BAD10669_0C6A_4B48_94B3_CAB6C3799360	UCEC
UCEC_BDFE8123_081E_49AF_930B_2371D8DEC261	UCEC
UCEC_C335297F_2D63_4973_9182_FA18C28E001E	UCEC
UCEC_D820B024_6B3B_4B5B_866E_F9A8139C270B	UCEC
